Timestamp,State
2023-12-06 14:40:47,Right
2023-12-06 14:40:47,Center
2023-12-06 14:41:07,Right
2023-12-06 14:41:23,Left
2023-12-06 14:41:27,Center
2023-12-06 14:41:40,Right
2023-12-06 14:41:42,Center
2023-12-06 14:41:52,Left
2023-12-06 14:42:07,Center
2023-12-06 14:42:10,Left
2023-12-06 14:42:35,Right
2023-12-06 14:42:49,Left
2023-12-06 14:43:11,Center
2023-12-06 14:43:13,Right
2023-12-06 14:43:14,Center
2023-12-06 14:46:31,Left
2023-12-06 14:46:35,Center
2023-12-06 14:46:35,Right
2023-12-06 14:46:36,Center
2023-12-06 14:47:32,Left
2023-12-06 14:48:07,Right
2023-12-06 14:48:07,Center
2023-12-06 14:48:08,Right
2023-12-06 14:48:23,Left
2023-12-06 14:48:23,Center
2023-12-06 14:49:11,Right
2023-12-06 14:49:12,Center
2023-12-06 14:49:17,Left
2023-12-06 14:49:18,Center
2023-12-06 14:49:23,Right
2023-12-06 14:49:24,Center
2023-12-06 14:50:10,Left
2023-12-06 14:50:10,Center
2023-12-06 14:50:14,Left
2023-12-06 14:50:15,Center
2023-12-06 14:50:42,Left
2023-12-06 14:50:42,Center
2023-12-06 14:50:43,Left
2023-12-06 14:50:44,Center
2023-12-06 14:50:53,Left
2023-12-06 14:50:54,Center
2023-12-06 14:50:55,Left
2023-12-06 14:50:55,Center
2023-12-06 14:51:05,Right
2023-12-06 14:51:06,Center
2023-12-06 14:51:09,Left
2023-12-06 14:51:10,Center
2023-12-06 14:51:11,Left
2023-12-06 14:51:11,Center
2023-12-06 14:51:11,Left
2023-12-06 14:51:11,Center
2023-12-06 14:51:48,Left
2023-12-06 14:51:48,Center
2023-12-06 14:52:07,Left
2023-12-06 14:52:07,Center
2023-12-06 14:52:18,Left
2023-12-06 14:52:19,Center
2023-12-06 14:52:20,Left
2023-12-06 14:52:20,Center
2023-12-06 14:52:46,Left
2023-12-06 14:52:47,Center
2023-12-06 14:53:23,Right
2023-12-06 14:53:24,Center
2023-12-06 14:53:25,Right
2023-12-06 14:53:27,Center
2023-12-06 14:53:28,Right
2023-12-06 14:53:29,Center
2023-12-06 14:53:29,Right
2023-12-06 14:53:29,Center
2023-12-06 14:53:30,Right
2023-12-06 14:53:30,Center
2023-12-06 14:53:55,Left
2023-12-06 14:53:55,Center
2023-12-06 14:53:58,Right
2023-12-06 14:54:01,Center
2023-12-06 14:54:02,Right
2023-12-06 14:54:03,Center
2023-12-06 14:54:05,Left
2023-12-06 14:54:06,Center
2023-12-06 14:54:08,Left
2023-12-06 14:54:08,Center
2023-12-06 14:54:23,Left
2023-12-06 14:54:23,Center
2023-12-06 14:54:27,Right
2023-12-06 14:54:31,Center
2023-12-06 14:54:34,Right
2023-12-06 14:54:36,Center
2023-12-06 14:54:44,Right
2023-12-06 14:54:45,Center
2023-12-06 14:55:05,Left
2023-12-06 14:55:06,Center
2023-12-06 14:55:11,Right
2023-12-06 14:55:14,Center
2023-12-06 14:55:18,Left
2023-12-06 14:55:19,Center
2023-12-06 14:55:46,Left
2023-12-06 14:55:47,Center
2023-12-06 14:55:49,Right
2023-12-06 14:55:52,Center
2023-12-06 14:56:09,Left
2023-12-06 14:56:10,Center
2023-12-06 14:56:12,Left
2023-12-06 14:56:12,Center
2023-12-06 14:56:14,Right
2023-12-06 14:56:18,Center
2023-12-06 14:56:57,Right
2023-12-06 14:56:57,Center
2023-12-06 14:57:00,Left
2023-12-06 14:57:00,Center
2023-12-06 14:57:01,Left
2023-12-06 14:57:01,Center
2023-12-06 14:57:22,Right
2023-12-06 14:57:22,Center
2023-12-06 14:57:43,Left
2023-12-06 14:57:44,Center
2023-12-06 14:57:51,Left
2023-12-06 14:57:51,Center
2023-12-06 14:57:59,Right
2023-12-06 14:57:59,Center
2023-12-06 14:58:00,Right
2023-12-06 14:58:01,Center
2023-12-06 14:58:07,Right
2023-12-06 14:58:07,Center
2023-12-06 14:58:15,Left
2023-12-06 14:58:16,Center
2023-12-06 14:58:18,Left
2023-12-06 14:58:18,Center
2023-12-06 14:58:20,Right
2023-12-06 14:58:20,Center
2023-12-06 14:58:24,Left
2023-12-06 14:58:25,Center
2023-12-06 14:58:25,Right
2023-12-06 14:58:26,Center
2023-12-06 14:58:27,Right
2023-12-06 14:58:27,Center
2023-12-06 14:58:28,Right
2023-12-06 14:58:29,Center
2023-12-06 14:58:30,Right
2023-12-06 14:58:30,Center
2023-12-06 14:58:40,Right
2023-12-06 14:58:40,Center
2023-12-06 14:58:40,Right
2023-12-06 14:58:40,Center
2023-12-06 14:58:41,Right
2023-12-06 14:58:42,Center
2023-12-06 14:58:42,Left
2023-12-06 14:58:42,Center
2023-12-06 14:58:43,Left
2023-12-06 14:58:43,Center
2023-12-06 14:58:50,Left
2023-12-06 14:58:50,Center
2023-12-06 14:58:56,Left
2023-12-06 14:58:56,Center
2023-12-06 14:59:06,Left
2023-12-06 14:59:06,Center
2023-12-06 14:59:37,Right
2023-12-06 14:59:38,Center
2023-12-06 14:59:38,Left
2023-12-06 14:59:39,Center
2023-12-06 14:59:42,Right
2023-12-06 14:59:42,Center
2023-12-06 15:00:12,Right
2023-12-06 15:00:13,Center
2023-12-06 15:00:14,Left
2023-12-06 15:00:14,Center
2023-12-06 15:00:15,Left
2023-12-06 15:00:15,Center
2023-12-06 15:00:19,Right
2023-12-06 15:00:19,Center
2023-12-06 15:00:25,Left
2023-12-06 15:00:26,Center
2023-12-06 15:00:36,Left
2023-12-06 15:00:37,Center
2023-12-06 15:00:39,Right
2023-12-06 15:00:40,Center
2023-12-06 15:00:50,Right
2023-12-06 15:00:51,Center
2023-12-06 15:01:05,Right
2023-12-06 15:01:05,Center
2023-12-06 15:01:07,Right
2023-12-06 15:01:08,Center
2023-12-06 15:01:08,Right
2023-12-06 15:01:08,Center
2023-12-06 15:01:12,Right
2023-12-06 15:01:12,Center
2023-12-06 15:01:13,Left
2023-12-06 15:01:13,Center
2023-12-06 15:01:37,Left
2023-12-06 15:01:58,Center
2023-12-06 15:01:58,Right
